26: Photon Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}\Vert^2+\Vert\mathbf{E_{\pi}}\Vert^2$
3.022182875658081684e+04,5.100000000000000000e+01
3.022182875658082048e+04,3.200000000000000000e+01
3.023172403936546471e+04,3.200000000000000000e+01
3.023172403936546471e+04,4.500000000000000000e+01
3.024161932215010893e+04,4.500000000000000000e+01
3.024161932215010893e+04,3.700000000000000000e+01
3.025151460493475315e+04,3.700000000000000000e+01
3.025151460493475679e+04,4.100000000000000000e+01
3.026140988771940101e+04,4.100000000000000000e+01
3.026140988771940101e+04,3.200000000000000000e+01
3.027130517050404524e+04,3.200000000000000000e+01
3.027130517050404524e+04,3.700000000000000000e+01
3.028120045328868946e+04,3.700000000000000000e+01
3.028120045328868946e+04,4.100000000000000000e+01
3.029109573607333368e+04,4.100000000000000000e+01
3.029109573607333732e+04,3.900000000000000000e+01
3.030099101885798154e+04,3.900000000000000000e+01
3.030099101885798154e+04,3.800000000000000000e+01
3.031088630164262577e+04,3.800000000000000000e+01
3.031088630164262577e+04,3.100000000000000000e+01
3.032078158442726999e+04,3.100000000000000000e+01
3.032078158442727363e+04,1.900000000000000000e+01
3.033067686721191785e+04,1.900000000000000000e+01
3.033067686721191785e+04,3.200000000000000000e+01
3.034057214999656208e+04,3.200000000000000000e+01
3.034057214999656208e+04,1.300000000000000000e+01
3.035046743278120630e+04,1.300000000000000000e+01
3.035046743278120994e+04,1.800000000000000000e+01
3.036036271556585416e+04,1.800000000000000000e+01
3.036036271556585416e+04,2.300000000000000000e+01
3.037025799835049838e+04,2.300000000000000000e+01
3.037025799835049838e+04,2.700000000000000000e+01
3.038015328113514261e+04,2.700000000000000000e+01
3.038015328113514261e+04,1.700000000000000000e+01
3.039004856391978683e+04,1.700000000000000000e+01
3.039004856391979047e+04,2.000000000000000000e+01
3.039994384670443469e+04,2.000000000000000000e+01
