26: Photon Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}\Vert^2+\Vert\mathbf{E_{\pi}}\Vert^2$
9.861467599781244644e+03,2.692000000000000000e+03
9.861467599781244644e+03,2.831000000000000000e+03
9.867406442981664441e+03,2.831000000000000000e+03
9.867406442981666260e+03,2.753000000000000000e+03
9.873345286182086056e+03,2.753000000000000000e+03
9.873345286182086056e+03,2.687000000000000000e+03
9.879284129382505853e+03,2.687000000000000000e+03
9.879284129382505853e+03,2.765000000000000000e+03
9.885222972582925649e+03,2.765000000000000000e+03
9.885222972582927468e+03,2.811000000000000000e+03
9.891161815783347265e+03,2.811000000000000000e+03
9.891161815783347265e+03,2.783000000000000000e+03
9.897100658983767062e+03,2.783000000000000000e+03
9.897100658983767062e+03,2.755000000000000000e+03
9.903039502184186858e+03,2.755000000000000000e+03
9.903039502184188677e+03,2.735000000000000000e+03
9.908978345384608474e+03,2.735000000000000000e+03
9.908978345384608474e+03,2.754000000000000000e+03
9.914917188585028271e+03,2.754000000000000000e+03
9.914917188585028271e+03,2.842000000000000000e+03
9.920856031785448067e+03,2.842000000000000000e+03
9.920856031785449886e+03,2.825000000000000000e+03
9.926794874985869683e+03,2.825000000000000000e+03
9.926794874985869683e+03,2.813000000000000000e+03
9.932733718186289479e+03,2.813000000000000000e+03
9.932733718186289479e+03,2.847000000000000000e+03
9.938672561386709276e+03,2.847000000000000000e+03
9.938672561386711095e+03,2.766000000000000000e+03
9.944611404587130892e+03,2.766000000000000000e+03
9.944611404587130892e+03,2.663000000000000000e+03
9.950550247787550688e+03,2.663000000000000000e+03
9.950550247787550688e+03,2.694000000000000000e+03
9.956489090987970485e+03,2.694000000000000000e+03
9.956489090987972304e+03,2.552000000000000000e+03
9.962427934188392101e+03,2.552000000000000000e+03
9.962427934188392101e+03,2.418000000000000000e+03
9.968366777388811897e+03,2.418000000000000000e+03
9.968366777388811897e+03,2.297000000000000000e+03
9.974305620589231694e+03,2.297000000000000000e+03
9.974305620589233513e+03,2.139000000000000000e+03
9.980244463789653310e+03,2.139000000000000000e+03
9.980244463789653310e+03,1.967000000000000000e+03
9.986183306990073106e+03,1.967000000000000000e+03
9.986183306990074925e+03,1.763000000000000000e+03
9.992122150190494722e+03,1.763000000000000000e+03
9.992122150190494722e+03,1.610000000000000000e+03
9.998060993390914518e+03,1.610000000000000000e+03
9.998060993390914518e+03,1.324000000000000000e+03
1.000399983659133432e+04,1.324000000000000000e+03
1.000399983659133613e+04,1.156000000000000000e+03
1.000993867979175593e+04,1.156000000000000000e+03
1.000993867979175593e+04,9.700000000000000000e+02
1.001587752299217573e+04,9.700000000000000000e+02
1.001587752299217573e+04,8.260000000000000000e+02
1.002181636619259552e+04,8.260000000000000000e+02
1.002181636619259734e+04,6.310000000000000000e+02
1.002775520939301714e+04,6.310000000000000000e+02
1.002775520939301714e+04,4.980000000000000000e+02
1.003369405259343694e+04,4.980000000000000000e+02
1.003369405259343694e+04,4.150000000000000000e+02
1.003963289579385673e+04,4.150000000000000000e+02
1.003963289579385855e+04,2.810000000000000000e+02
1.004557173899427835e+04,2.810000000000000000e+02
1.004557173899427835e+04,2.140000000000000000e+02
1.005151058219469815e+04,2.140000000000000000e+02
1.005151058219469815e+04,1.570000000000000000e+02
1.005744942539511794e+04,1.570000000000000000e+02
1.005744942539511976e+04,1.380000000000000000e+02
1.006338826859553956e+04,1.380000000000000000e+02
1.006338826859553956e+04,1.200000000000000000e+02
1.006932711179595935e+04,1.200000000000000000e+02
1.006932711179595935e+04,8.600000000000000000e+01
1.007526595499637915e+04,8.600000000000000000e+01
1.007526595499638097e+04,8.900000000000000000e+01
1.008120479819680077e+04,8.900000000000000000e+01
1.008120479819680077e+04,1.050000000000000000e+02
1.008714364139722056e+04,1.050000000000000000e+02
1.008714364139722056e+04,8.800000000000000000e+01
1.009308248459764036e+04,8.800000000000000000e+01
1.009308248459764218e+04,1.060000000000000000e+02
1.009902132779806198e+04,1.060000000000000000e+02
1.009902132779806198e+04,1.060000000000000000e+02
1.010496017099848177e+04,1.060000000000000000e+02
1.010496017099848177e+04,9.900000000000000000e+01
1.011089901419890157e+04,9.900000000000000000e+01
1.011089901419890339e+04,8.200000000000000000e+01
1.011683785739932318e+04,8.200000000000000000e+01
1.011683785739932318e+04,8.500000000000000000e+01
1.012277670059974298e+04,8.500000000000000000e+01
1.012277670059974480e+04,6.400000000000000000e+01
1.012871554380016460e+04,6.400000000000000000e+01
1.012871554380016460e+04,6.200000000000000000e+01
1.013465438700058439e+04,6.200000000000000000e+01
1.013465438700058439e+04,6.200000000000000000e+01
1.014059323020100419e+04,6.200000000000000000e+01
1.014059323020100601e+04,4.700000000000000000e+01
1.014653207340142581e+04,4.700000000000000000e+01
1.014653207340142581e+04,4.600000000000000000e+01
1.015247091660184560e+04,4.600000000000000000e+01
1.015247091660184560e+04,4.500000000000000000e+01
1.015840975980226540e+04,4.500000000000000000e+01
1.015840975980226722e+04,4.700000000000000000e+01
1.016434860300268701e+04,4.700000000000000000e+01
1.016434860300268701e+04,3.700000000000000000e+01
1.017028744620310681e+04,3.700000000000000000e+01
1.017028744620310681e+04,3.300000000000000000e+01
1.017622628940352661e+04,3.300000000000000000e+01
1.017622628940352843e+04,4.100000000000000000e+01
1.018216513260394822e+04,4.100000000000000000e+01
1.018216513260394822e+04,3.100000000000000000e+01
1.018810397580436802e+04,3.100000000000000000e+01
1.018810397580436802e+04,4.100000000000000000e+01
1.019404281900478782e+04,4.100000000000000000e+01
1.019404281900478964e+04,3.500000000000000000e+01
1.019998166220520943e+04,3.500000000000000000e+01
